names,m49_code,iso_alpha3code
Anguilla,660,AIA
Antigua and Barbuda,28,ATG
Aruba,533,ABW
Bahamas,44,BHS
Barbados,52,BRB
Bonaire Sint Eustatius and Saba,535,BES
British Virgin Islands,92,VGB
Cayman Islands,136,CYM
Cuba,192,CUB
Curaçao,531,CUW
Dominica,212,DMA
Dominican Republic,214,DOM
Grenada,308,GRD
Guadeloupe,312,GLP
Haiti,332,HTI
Jamaica,388,JAM
Martinique,474,MTQ
Montserrat,500,MSR
Puerto Rico,630,PRI
Saint Barthélemy,652,BLM
Saint Kitts and Nevis,659,KNA
Saint Lucia,662,LCA
Saint Martin (French Part),663,MAF
Saint Vincent and the Grenadines,670,VCT
Sint Maarten (Dutch part),534,SXM
Trinidad and Tobago,780,TTO
Turks and Caicos Islands,796,TCA
United States Virgin Islands,850,VIR
Belize,84,BLZ
Costa Rica,188,CRI
El Salvador,222,SLV
Guatemala,320,GTM
Honduras,340,HND
Mexico,484,MEX
Nicaragua,558,NIC
Panama,591,PAN
Argentina,32,ARG
Bolivia (Plurinational State of),68,BOL
Bouvet Island,74,BVT
Brazil,76,BRA
Chile,152,CHL
Colombia,170,COL
Ecuador,218,ECU
Falkland Islands (Malvinas),238,FLK
French Guiana,254,GUF
Guyana,328,GUY
Paraguay,600,PRY
Peru,604,PER
South Georgia and the South Sandwich Islands,239,SGS
Suriname,740,SUR
Uruguay,858,URY
Venezuela (Bolivarian Republic of),862,VEN
